reportDate,zip,confirmed_cases,total_tested
1/26/2021 12:00:00 AM,61856,558,12680
1/26/2021 12:00:00 AM,61857,14,198
1/26/2021 12:00:00 AM,61858,292,3233
1/26/2021 12:00:00 AM,61859,93,3058
1/26/2021 12:00:00 AM,61862,55,847
1/26/2021 12:00:00 AM,61863,68,2871
1/26/2021 12:00:00 AM,61864,129,5338
1/26/2021 12:00:00 AM,61865,128,1480
1/26/2021 12:00:00 AM,61866,1345,23240
1/26/2021 12:00:00 AM,61870,88,1278
1/26/2021 12:00:00 AM,61871,37,510
1/26/2021 12:00:00 AM,61872,41,1695
1/26/2021 12:00:00 AM,61873,539,15969
1/26/2021 12:00:00 AM,61874,558,49077
1/26/2021 12:00:00 AM,61875,45,1792
1/26/2021 12:00:00 AM,61876,73,649
1/26/2021 12:00:00 AM,61877,106,4176
1/26/2021 12:00:00 AM,61878,86,2503
1/26/2021 12:00:00 AM,61880,395,12906
1/26/2021 12:00:00 AM,61882,29,541
1/26/2021 12:00:00 AM,61883,452,4251
1/26/2021 12:00:00 AM,61884,82,1688
1/26/2021 12:00:00 AM,61910,716,4951
1/26/2021 12:00:00 AM,61911,395,2560
1/26/2021 12:00:00 AM,61912,86,898
1/26/2021 12:00:00 AM,61913,131,1516
1/26/2021 12:00:00 AM,61914,152,1502
1/26/2021 12:00:00 AM,61917,71,403
1/26/2021 12:00:00 AM,61919,67,942
1/26/2021 12:00:00 AM,61920,2088,24450
1/26/2021 12:00:00 AM,61924,185,2032
1/26/2021 12:00:00 AM,61925,82,659
1/26/2021 12:00:00 AM,61928,75,544
1/26/2021 12:00:00 AM,61929,45,626
1/26/2021 12:00:00 AM,61930,62,322
1/26/2021 12:00:00 AM,61931,112,969
1/26/2021 12:00:00 AM,61932,23,290
1/26/2021 12:00:00 AM,61933,60,536
1/26/2021 12:00:00 AM,61936,19,206
1/26/2021 12:00:00 AM,61937,138,1540
1/26/2021 12:00:00 AM,61938,2188,24144
1/26/2021 12:00:00 AM,61940,22,105
1/26/2021 12:00:00 AM,61942,82,1376
1/26/2021 12:00:00 AM,61943,156,920
1/26/2021 12:00:00 AM,61944,1080,6611
1/26/2021 12:00:00 AM,61951,837,12409
1/26/2021 12:00:00 AM,61953,592,9144
1/26/2021 12:00:00 AM,61956,235,3520
1/26/2021 12:00:00 AM,61957,159,1435
1/26/2021 12:00:00 AM,62001,169,2930
1/26/2021 12:00:00 AM,62002,2934,25012
1/26/2021 12:00:00 AM,62006,60,547
1/26/2021 12:00:00 AM,62009,131,1886
1/26/2021 12:00:00 AM,62010,1185,8791
1/26/2021 12:00:00 AM,62011,31,256
1/26/2021 12:00:00 AM,62012,634,4516
1/26/2021 12:00:00 AM,62013,48,326
1/26/2021 12:00:00 AM,62014,300,2540
1/26/2021 12:00:00 AM,62015,50,400
1/26/2021 12:00:00 AM,62016,370,2430
1/26/2021 12:00:00 AM,62017,102,910
1/26/2021 12:00:00 AM,62018,245,2091
1/26/2021 12:00:00 AM,62019,33,361
1/26/2021 12:00:00 AM,62021,77,497
1/26/2021 12:00:00 AM,62022,117,750
1/26/2021 12:00:00 AM,62024,794,6582
1/26/2021 12:00:00 AM,62025,3179,30197
1/26/2021 12:00:00 AM,62026,19,648
1/26/2021 12:00:00 AM,62027,34,318
1/26/2021 12:00:00 AM,62028,38,398
1/26/2021 12:00:00 AM,62031,82,556
1/26/2021 12:00:00 AM,62032,83,694
1/26/2021 12:00:00 AM,62033,489,7429
1/26/2021 12:00:00 AM,62034,1242,14037
1/26/2021 12:00:00 AM,62035,1769,14855
1/26/2021 12:00:00 AM,62036,68,384
1/26/2021 12:00:00 AM,62037,176,1755
1/26/2021 12:00:00 AM,62040,3529,24321
1/26/2021 12:00:00 AM,62044,157,1112
1/26/2021 12:00:00 AM,62045,29,426
1/26/2021 12:00:00 AM,62046,106,613
1/26/2021 12:00:00 AM,62047,155,2038
1/26/2021 12:00:00 AM,62048,119,853
1/26/2021 12:00:00 AM,62049,1497,20342
1/26/2021 12:00:00 AM,62050,32,333
1/26/2021 12:00:00 AM,62051,70,777
1/26/2021 12:00:00 AM,62052,1483,16533
1/26/2021 12:00:00 AM,62053,53,558
1/26/2021 12:00:00 AM,62054,82,468
1/26/2021 12:00:00 AM,62056,688,12377
1/26/2021 12:00:00 AM,62058,64,606
1/26/2021 12:00:00 AM,62059,35,396
1/26/2021 12:00:00 AM,62060,322,2584
1/26/2021 12:00:00 AM,62061,181,1179
1/26/2021 12:00:00 AM,62062,853,14333
1/26/2021 12:00:00 AM,62063,111,787
1/26/2021 12:00:00 AM,62067,273,1583
1/26/2021 12:00:00 AM,62069,271,3081
1/26/2021 12:00:00 AM,62074,82,790
1/26/2021 12:00:00 AM,62075,284,2659
1/26/2021 12:00:00 AM,62076,6,56
1/26/2021 12:00:00 AM,62077,25,301
1/26/2021 12:00:00 AM,62079,41,184
